Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,28|4,,,33.62,3.683,5.329,3.918,18.65,33.93,0.86
29,29|1,,,32.67,1.476,5.109,4.371,12.66,42.78,0.91
,29|3,,,31.25,1.756,4.061,3.744,10.77,47.52,0.89
,29|4,,,30.01,1.703,4.245,3.921,11.22,48.24,0.64
,29|5,,,31.3,1.498,4.284,4.097,11.91,46.33,0.56
,29|6,,,27.8,1.539,4.087,3.885,11.7,50.11,0.85
,29|7,,,31.57,1.746,4.998,2.848,12.6,45.31,0.91
,29|8,,,33.12,1.508,4.143,3.692,13.19,43.36,0.96
,29|2,,,30.74,1.426,5.309,3.549,9.968,48.28,0.71
30,30|1,,,33.27,2.1,6.564,4.051,16.2,36.75,1.05
,30|3,,,33.02,3.961,5.159,2.962,22.33,31.95,0.59
,30|4,,,32.68,1.791,5.597,3.171,20.26,35.48,1
,30|5,,,33.17,2.028,5.426,3.153,16.89,38.27,1.05
,30|6,,,32.34,2.145,6.275,4.089,17.69,36.15,1.29
,30|2,,,37.5,2.233,5.698,2.81,18.55,32.15,1.03
31,31|1,,,29.22,3.301,7.442,3.185,17.66,38.4,0.78
,31|3,,,36.66,1.833,7.924,3.252,15.13,34.24,0.94
,31|5,,,34.63,2.557,7.3,2.637,18.78,33.14,0.93
,31|7,,,31.34,2.787,6.428,3.031,18.41,37.16,0.83
,31|8,,,37.35,2.478,4.419,2.657,19.16,32.75,1.16
,31|10,,,31.84,2.161,8.536,3.778,16.68,35.99,0.99
,31|2,,,37.84,2.58,6.88,4.169,16.57,30.98,0.96
,31|4,,,27.95,1.773,8.325,3.924,14.11,43.19,0.7
,31|6,,,36.39,2.006,6.508,3.719,16.93,33.49,0.94
,31|9,,,29.09,2.051,6.987,3.815,17.21,40.01,0.82
32,32|1,,,36.31,2.921,5.666,2.216,14.42,37.34,1.1
